tran_code,tran_cat_code,tran_terms_bal,Tran_Group
160,3001,1,Purchases
228,3560,14,Convenience Check Amount
105,1026,2,Cash Advance Amount
239,1026,2,Cash Advance Amount
1002,1027,15,Cash Advance Amount
105,1027,15,Cash Advance Amount
239,1027,15,Cash Advance Amount
160,3220,16,Purchases
3006,3115,1,Purchases
101,3115,1,Purchases
160,2003,5,Purchases
218,3244,3,Balance Transfer Amount
228,3012,14,Convenience Check Amount
3036,2228,1,Purchases
104,3243,3,Convenience Check Amount
101,2003,5,Purchases
239,1020,15,Cash Advance Amount
354,2228,1,Purchases
354,2,2,Purchases
354,4021,5,Purchases
1025,2228,1,Purchases
3031,2003,5,Purchases
3036,2003,5,Purchases
104,3254,3,Convenience Check Amount
218,3255,3,Balance Transfer Amount
1026,2228,1,Purchases
104,3245,3,Convenience Check Amount
1002,1021,15,Cash Advance Amount
3031,3220,16,Purchases
109,2003,5,Purchases
1002,1024,15,Cash Advance Amount
105,3269,17,Cash Advance Amount
300,3255,3,Balance Transfer Amount
300,2003,3,Balance Transfer Amount
3001,2004,5,Purchases
219,5,3,Convenience Check Amount
228,3245,3,Convenience Check Amount
3006,2006,5,Purchases
101,2004,5,Purchases
354,3,2,Purchases
354,2226,1,Purchases
3001,2014,1,Purchases
3001,2007,5,Purchases
3006,2007,5,Purchases
9501,1,1,Purchases
9503,3,2,Cash Advance Amount
160,3115,1,Purchases
9506,1,1,Purchases
9521,3,2,Cash Advance Amount
101,2007,5,Purchases
101,400,1001,Purchases
3001,400,1001,Purchases
106,400,1001,Purchases
3006,400,1001,Purchases
101,1,1024,Purchases
106,1,1024,Purchases
101,1,1025,Purchases
106,1,1025,Purchases
1006,400,1001,Purchases
1001,550,1001,Purchases
3008,454,1005,Cash Advance Amount
3005,454,1005,Cash Advance Amount
3001,550,1001,Purchases
1003,454,1005,Cash Advance Amount
3006,550,1001,Purchases
102,8345,24,Cash Advance Amount
160,550,1001,Purchases
101,550,1001,Purchases
130,2016,5,Purchases
218,2016,5,Purchases
104,2004,5,Purchases
219,8501,2,Cash Advance Amount
303,452,1003,Balance Transfer Amount
492,400,1001,Purchases
299,402,1003,Balance Transfer Amount
101,3001,1,Purchases
138,2005,5,Purchases
101,3005,3,Purchases
1001,2017,16,Purchases
101,2016,5,Purchases
1001,2016,5,Purchases
1006,2017,16,Purchases
160,2016,5,Purchases
1006,2016,5,Purchases
160,2017,16,Purchases
1026,8802,16,Purchases
228,8342,3,Convenience Check Amount
300,2005,5,Purchases
187,1,1,Purchases
102,3030,3,Cash Advance Amount
101,3030,3,Purchases
160,400,1001,Purchases
107,1027,15,Cash Advance Amount
1001,400,1001,Purchases
101,1,1021,Purchases
106,1,1021,Purchases
130,400,1001,Purchases
3031,400,1001,Purchases
106,1,1029,Purchases
101,1,1026,Purchases
1025,400,1001,Purchases
106,1,1026,Purchases
101,1,1029,Purchases
106,1,1023,Purchases
239,454,1005,Cash Advance Amount
101,1,1023,Purchases
101,1,1002,Purchases
106,1,1002,Purchases
160,1027,15,Purchases
160,8334,5,Purchases
138,2016,5,Purchases
104,2016,5,Purchases
218,1,1,Purchases
104,2010,5,Purchases
104,2009,5,Purchases
102,2005,5,Cash Advance Amount
299,404,1005,Cash Advance Amount
160,8333,5,Purchases
160,8346,5,Purchases
1006,8333,5,Purchases
106,1,1027,Purchases
101,1,1027,Purchases
1002,454,1005,Cash Advance Amount
107,671,15,Cash Advance Amount
1006,8334,5,Purchases
102,454,1005,Cash Advance Amount
101,8345,24,Purchases
1006,8345,5,Purchases
325,405,1006,Purchases
9506,400,1001,Purchases
9501,400,1001,Purchases
1026,2015,5,Purchases
1003,3,15,Cash Advance Amount
1002,2,15,Cash Advance Amount
101,8334,21,Purchases
298,400,1001,Purchases
299,400,1001,Purchases
160,8334,21,Purchases
160,8333,21,Purchases
1001,2018,16,Purchases
3006,2018,16,Purchases
3001,2018,16,Purchases
1006,2018,16,Purchases
101,2018,16,Purchases
160,2018,16,Purchases
107,2018,15,Cash Advance Amount
1001,1,5,Purchases
3006,8334,16,Purchases
3006,8333,16,Purchases
101,1,5,Purchases
300,8333,3,Balance Transfer Amount
9506,2018,16,Purchases
9501,2018,16,Purchases
1006,2018,5,Purchases
3001,1,16,Purchases
1006,8334,16,Purchases
101,1,16,Purchases
1006,8349,16,Purchases
1006,8349,5,Purchases
106,2018,16,Purchases
1001,1,16,Purchases
1006,8366,5,Purchases
130,2018,16,Purchases
3031,2018,16,Purchases
375,2018,16,Purchases
1025,2018,16,Purchases
160,3050,4,Purchases
102,8334,21,Cash Advance Amount
3006,8334,5,Purchases
160,2005,4,Purchases
101,3051,4,Purchases
102,8349,25,Cash Advance Amount
219,2016,5,Purchases
219,2005,5,Purchases
160,8350,5,Purchases
160,3051,4,Purchases
106,2018,5,Purchases
102,8333,21,Cash Advance Amount
101,8350,25,Purchases
130,3001,1,Purchases
101,8349,25,Purchases
3001,2016,5,Purchases
222,8501,2,Cash Advance Amount
480,1,1,Purchases
813,1,1,Purchases
138,24,6,Purchases
168,24,6,Purchases
831,1,1,Purchases
370,1,1,Purchases
368,22,1,Purchases
9523,45,1,Purchases
9524,45,1,Purchases
3031,2015,5,Purchases
160,2016,1,Purchases
3006,2016,5,Purchases
102,8365,29,Cash Advance Amount
1006,8350,5,Purchases
101,8358,27,Purchases
1006,8373,5,Purchases
3006,8333,5,Purchases
101,8341,23,Purchases
101,8365,29,Purchases
101,8366,29,Purchases
101,8342,23,Purchases
101,8357,27,Purchases
101,8374,31,Purchases
102,8370,30,Cash Advance Amount
160,8357,27,Purchases
3006,2224,1,Purchases
218,3181,3,Balance Transfer Amount
3001,3220,16,Purchases
130,2228,1,Purchases
160,8803,16,Purchases
1025,8803,16,Purchases
3036,8803,16,Purchases
101,3415,16,Purchases
3036,8802,16,Purchases
1001,2005,5,Purchases
1006,2005,5,Purchases
1025,2015,5,Purchases
101,2005,5,Purchases
160,2005,5,Purchases
